PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32987244","Ketogenic diet and Neuroinflammation","Koh S, Dupuis N, Auvin S.","Epilepsy Res. 2020 Nov;167:106454. doi: 10.1016/j.eplepsyres.2020.106454. Epub 2020 Sep 6.","Koh S","Epilepsy Res","2020","2020/09/28","","","10.1016/j.eplepsyres.2020.106454"
"31968211","Fecal microbiota transplantation in disease therapy","Antushevich H.","Clin Chim Acta. 2020 Apr;503:90-98. doi: 10.1016/j.cca.2019.12.010. Epub 2020 Jan 20.","Antushevich H","Clin Chim Acta","2020","2020/01/23","","","10.1016/j.cca.2019.12.010"
"33148438","Probiotic Clostridium butyricum ameliorated motor deficits in a mouse model of Parkinson's disease via gut microbiota-GLP-1 pathway","Sun J, Li H, Jin Y, Yu J, Mao S, Su KP, Ling Z, Liu J.","Brain Behav Immun. 2021 Jan;91:703-715. doi: 10.1016/j.bbi.2020.10.014. Epub 2020 Oct 24.","Sun J","Brain Behav Immun","2021","2020/11/05","","","10.1016/j.bbi.2020.10.014"
"32266160","Fecal Microbiota Transplantation in Neurological Disorders","Vendrik KEW, Ooijevaar RE, de Jong PRC, Laman JD, van Oosten BW, van Hilten JJ, Ducarmon QR, Keller JJ, Kuijper EJ, Contarino MF.","Front Cell Infect Microbiol. 2020 Mar 24;10:98. doi: 10.3389/fcimb.2020.00098. eCollection 2020.","Vendrik KEW","Front Cell Infect Microbiol","2020","2020/04/09","PMC7105733","","10.3389/fcimb.2020.00098"
"33099131","Altered gut microbiota in Parkinson's disease patients/healthy spouses and its association with clinical features","Zhang F, Yue L, Fang X, Wang G, Li C, Sun X, Jia X, Yang J, Song J, Zhang Y, Guo C, Ma G, Sang M, Chen F, Wang P.","Parkinsonism Relat Disord. 2020 Dec;81:84-88. doi: 10.1016/j.parkreldis.2020.10.034. Epub 2020 Oct 20.","Zhang F","Parkinsonism Relat Disord","2020","2020/10/25","","","10.1016/j.parkreldis.2020.10.034"
"33185912","Gut microbiota and metabolome distinctive features in Parkinson disease: Focus on levodopa and levodopa-carbidopa intrajejunal gel","Melis M, Vascellari S, Santoru ML, Oppo V, Fabbri M, Sarchioto M, Murgia D, Zibetti M, Lopiano L, Serra A, Palmas V, Pisanu S, Perra D, Madau V, Cusano R, Uva P, Mereu A, Contu P, Morelli M, Atzori L, Melis M, Manzin A, Cossu G.","Eur J Neurol. 2021 Apr;28(4):1198-1209. doi: 10.1111/ene.14644. Epub 2020 Dec 16.","Melis M","Eur J Neurol","2021","2020/11/13","","","10.1111/ene.14644"
"32032654","Gut microbiota differences between healthy older adults and individuals with Parkinson's disease: A systematic review","Nuzum ND, Loughman A, Szymlek-Gay EA, Hendy A, Teo WP, Macpherson H.","Neurosci Biobehav Rev. 2020 May;112:227-241. doi: 10.1016/j.neubiorev.2020.02.003. Epub 2020 Feb 4.","Nuzum ND","Neurosci Biobehav Rev","2020","2020/02/08","","","10.1016/j.neubiorev.2020.02.003"
"31952509","The progress of gut microbiome research related to brain disorders","Zhu S, Jiang Y, Xu K, Cui M, Ye W, Zhao G, Jin L, Chen X.","J Neuroinflammation. 2020 Jan 17;17(1):25. doi: 10.1186/s12974-020-1705-z.","Zhu S","J Neuroinflammation","2020","2020/01/19","PMC6969442","","10.1186/s12974-020-1705-z"
"33381005","Fisetin Regulates Gut Microbiota and Exerts Neuroprotective Effect on Mouse Model of Parkinson's Disease","Chen TJ, Feng Y, Liu T, Wu TT, Chen YJ, Li X, Li Q, Wu YC.","Front Neurosci. 2020 Dec 14;14:549037. doi: 10.3389/fnins.2020.549037. eCollection 2020.","Chen TJ","Front Neurosci","2020","2020/12/31","PMC7768012","","10.3389/fnins.2020.549037"
"32323181","Gut Microbiota and Neurologic Diseases and Injuries","Tyler Patterson T, Grandhi R.","Adv Exp Med Biol. 2020;1238:73-91. doi: 10.1007/978-981-15-2385-4_6.","Tyler Patterson T","Adv Exp Med Biol","2020","2020/04/24","","","10.1007/978-981-15-2385-4_6"
"32712266","Microglia, inflammation and gut microbiota responses in a progressive monkey model of Parkinson's disease: A case series","Joers V, Masilamoni G, Kempf D, Weiss AR, Rotterman TM, Murray B, Yalcin-Cakmakli G, Voll RJ, Goodman MM, Howell L, Bachevalier J, Green SJ, Naqib A, Shaikh M, Engen PA, Keshavarzian A, Barnum CJ, Nye JA, Smith Y, Tansey MG.","Neurobiol Dis. 2020 Oct;144:105027. doi: 10.1016/j.nbd.2020.105027. Epub 2020 Jul 24.","Joers V","Neurobiol Dis","2020","2020/07/27","PMC7484290","NIHMS1617926","10.1016/j.nbd.2020.105027"
"33194809","Gut Microbiota Approach-A New Strategy to Treat Parkinson's Disease","Liu J, Xu F, Nie Z, Shao L.","Front Cell Infect Microbiol. 2020 Oct 22;10:570658. doi: 10.3389/fcimb.2020.570658. eCollection 2020.","Liu J","Front Cell Infect Microbiol","2020","2020/11/16","PMC7643014","","10.3389/fcimb.2020.570658"
"33352217","Human gut microbiota and its association with pathogenesis and treatments of neurodegenerative diseases","Chen Z, Maqbool J, Sajid F, Hussain G, Sun T.","Microb Pathog. 2021 Jan;150:104675. doi: 10.1016/j.micpath.2020.104675. Epub 2020 Dec 24.","Chen Z","Microb Pathog","2021","2020/12/22","","","10.1016/j.micpath.2020.104675"
"32112917","The Link between Gut Dysbiosis and Neuroinflammation in Parkinson's Disease","Baizabal-Carvallo JF, Alonso-Juarez M.","Neuroscience. 2020 Apr 15;432:160-173. doi: 10.1016/j.neuroscience.2020.02.030. Epub 2020 Feb 27.","Baizabal-Carvallo JF","Neuroscience","2020","2020/03/01","","","10.1016/j.neuroscience.2020.02.030"
"33279302","Metabolomics analysis of microbiota-gut-brain axis in neurodegenerative and psychiatric diseases","Konjevod M, Nikolac Perkovic M, Sáiz J, Svob Strac D, Barbas C, Rojo D.","J Pharm Biomed Anal. 2021 Feb 5;194:113681. doi: 10.1016/j.jpba.2020.113681. Epub 2020 Nov 21.","Konjevod M","J Pharm Biomed Anal","2021","2020/12/06","","","10.1016/j.jpba.2020.113681"
"32459708","The role of the gut microbiota in the pathophysiology of mental and neurological disorders","Pusceddu MM, Del Bas JM.","Psychiatr Genet. 2020 Aug;30(4):87-100. doi: 10.1097/YPG.0000000000000255.","Pusceddu MM","Psychiatr Genet","2020","2020/05/28","","","10.1097/YPG.0000000000000255"
"32877215","Parkinson's disease: Are gut microbes involved?","Bhattarai Y, Kashyap PC.","Am J Physiol Gastrointest Liver Physiol. 2020 Nov 1;319(5):G529-G540. doi: 10.1152/ajpgi.00058.2020. Epub 2020 Sep 2.","Bhattarai Y","Am J Physiol Gastrointest Liver Physiol","2020","2020/09/03","PMC8087343","","10.1152/ajpgi.00058.2020"
"32733812","Human Gut-Microbiota Interaction in Neurodegenerative Disorders and Current Engineered Tools for Its Modeling","Ceppa FA, Izzo L, Sardelli L, Raimondi I, Tunesi M, Albani D, Giordano C.","Front Cell Infect Microbiol. 2020 Jul 7;10:297. doi: 10.3389/fcimb.2020.00297. eCollection 2020.","Ceppa FA","Front Cell Infect Microbiol","2020","2020/08/01","PMC7358350","","10.3389/fcimb.2020.00297"
"32516966","Gut-Brain Axis and Neurodegeneration: State-of-the-Art of Meta-Omics Sciences for Microbiota Characterization","Tilocca B, Pieroni L, Soggiu A, Britti D, Bonizzi L, Roncada P, Greco V.","Int J Mol Sci. 2020 Jun 5;21(11):4045. doi: 10.3390/ijms21114045.","Tilocca B","Int J Mol Sci","2020","2020/06/11","PMC7312636","","10.3390/ijms21114045"
"32926778","1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine Induced Parkinson's Disease in Mouse: Potential Association between Neurotransmitter Disturbance and Gut Microbiota Dysbiosis","Zhu Y, Huan F, Wang J, Xie X, Yu G, Wang X, Jiang L, Gao R, Xiao H, Ding H, Wang J.","ACS Chem Neurosci. 2020 Oct 21;11(20):3366-3376. doi: 10.1021/acschemneuro.0c00475. Epub 2020 Sep 29.","Zhu Y","ACS Chem Neurosci","2020","2020/09/14","","","10.1021/acschemneuro.0c00475"
"31931152","Regulation of immune-driven pathogenesis in Parkinson's disease by gut microbiota","Zheng W, He R, Yan Z, Huang Y, Huang W, Cai Z, Su Y, Liu S, Deng Y, Wang Q, Xie H.","Brain Behav Immun. 2020 Jul;87:890-897. doi: 10.1016/j.bbi.2020.01.009. Epub 2020 Jan 10.","Zheng W","Brain Behav Immun","2020","2020/01/14","","","10.1016/j.bbi.2020.01.009"
"33390888","Caffeine and Parkinson's Disease: Multiple Benefits and Emerging Mechanisms","Ren X, Chen JF.","Front Neurosci. 2020 Dec 17;14:602697. doi: 10.3389/fnins.2020.602697. eCollection 2020.","Ren X","Front Neurosci","2020","2021/01/04","PMC7773776","","10.3389/fnins.2020.602697"
"32247371","The gut microbiome in Parkinson's disease: A culprit or a bystander?","Keshavarzian A, Engen P, Bonvegna S, Cilia R.","Prog Brain Res. 2020;252:357-450. doi: 10.1016/bs.pbr.2020.01.004. Epub 2020 Mar 5.","Keshavarzian A","Prog Brain Res","2020","2020/04/06","","","10.1016/bs.pbr.2020.01.004"
"32157731","EGCG ameliorates neuronal and behavioral defects by remodeling gut microbiota and TotM expression in Drosophila models of Parkinson's disease","Xu Y, Xie M, Xue J, Xiang L, Li Y, Xiao J, Xiao G, Wang HL.","FASEB J. 2020 Apr;34(4):5931-5950. doi: 10.1096/fj.201903125RR. Epub 2020 Mar 10.","Xu Y","FASEB J","2020","2020/03/12","","","10.1096/fj.201903125RR"
"31843492","Alterations of the gut microbiota with antibiotics protects dopamine neuron loss and improve motor deficits in a pharmacological rodent model of Parkinson's disease","Koutzoumis DN, Vergara M, Pino J, Buddendorff J, Khoshbouei H, Mandel RJ, Torres GE.","Exp Neurol. 2020 Mar;325:113159. doi: 10.1016/j.expneurol.2019.113159. Epub 2019 Dec 13.","Koutzoumis DN","Exp Neurol","2020","2019/12/18","","","10.1016/j.expneurol.2019.113159"
"33138351","Implications of the Human Gut-Brain and Gut-Cancer Axes for Future Nanomedicine","Javed I, Cui X, Wang X, Mortimer M, Andrikopoulos N, Li Y, Davis TP, Zhao Y, Ke PC, Chen C.","ACS Nano. 2020 Nov 24;14(11):14391-14416. doi: 10.1021/acsnano.0c07258. Epub 2020 Nov 2.","Javed I","ACS Nano","2020","2020/11/03","","","10.1021/acsnano.0c07258"
"32226375","Microbiota and Other Preventive Strategies and Non-genetic Risk Factors in Parkinson's Disease","Franco R, Rivas-Santisteban R, Reyes-Resina I, Navarro G, Martínez-Pinilla E.","Front Aging Neurosci. 2020 Mar 12;12:12. doi: 10.3389/fnagi.2020.00012. eCollection 2020.","Franco R","Front Aging Neurosci","2020","2020/04/01","PMC7080700","","10.3389/fnagi.2020.00012"
"32473843","Microbiota-gut-brain axis in health and disease: Is NLRP3 inflammasome at the crossroads of microbiota-gut-brain communications?","Pellegrini C, Antonioli L, Calderone V, Colucci R, Fornai M, Blandizzi C.","Prog Neurobiol. 2020 Aug;191:101806. doi: 10.1016/j.pneurobio.2020.101806. Epub 2020 May 28.","Pellegrini C","Prog Neurobiol","2020","2020/06/01","","","10.1016/j.pneurobio.2020.101806"
"33240722","Gut-Brain Axis and its Neuro-Psychiatric Effects: A Narrative Review","Shaik L, Kashyap R, Thotamgari SR, Singh R, Khanna S.","Cureus. 2020 Oct 24;12(10):e11131. doi: 10.7759/cureus.11131.","Shaik L","Cureus","2020","2020/11/26","PMC7682910","","10.7759/cureus.11131"
"31854093","The gut in Parkinson's disease: Bottom-up, top-down, or neither?","Leclair-Visonneau L, Neunlist M, Derkinderen P, Lebouvier T.","Neurogastroenterol Motil. 2020 Jan;32(1):e13777. doi: 10.1111/nmo.13777.","Leclair-Visonneau L","Neurogastroenterol Motil","2020","2019/12/20","","","10.1111/nmo.13777"
"32941730","Gut Microbiota Dynamics in Parkinsonian Mice","Klann E, Tagliamonte MS, Ukhanova M, Mai V, Vedam-Mai V.","ACS Chem Neurosci. 2020 Oct 21;11(20):3267-3276. doi: 10.1021/acschemneuro.0c00386. Epub 2020 Oct 2.","Klann E","ACS Chem Neurosci","2020","2020/09/17","","","10.1021/acschemneuro.0c00386"
"33153085","Do the Bugs in Your Gut Eat Your Memories? Relationship between Gut Microbiota and Alzheimer's Disease","Borsom EM, Lee K, Cope EK.","Brain Sci. 2020 Nov 3;10(11):814. doi: 10.3390/brainsci10110814.","Borsom EM","Brain Sci","2020","2020/11/06","PMC7693835","","10.3390/brainsci10110814"
"33418492","Gut microbiota-derived metabolite trimethylamine N-oxide as a biomarker in early Parkinson's disease","Chung SJ, Rim JH, Ji D, Lee S, Yoo HS, Jung JH, Baik K, Choi Y, Ye BS, Sohn YH, Yun M, Lee SG, Lee PH.","Nutrition. 2021 Mar;83:111090. doi: 10.1016/j.nut.2020.111090. Epub 2020 Nov 21.","Chung SJ","Nutrition","2021","2021/01/08","","","10.1016/j.nut.2020.111090"
"32244373","The Microbiota-Gut-Brain Axis-Heart Shunt Part II: Prosaic Foods and the Brain-Heart Connection in Alzheimer Disease","Obrenovich M, Tabrez S, Siddiqui B, McCloskey B, Perry G.","Microorganisms. 2020 Mar 31;8(4):493. doi: 10.3390/microorganisms8040493.","Obrenovich M","Microorganisms","2020","2020/04/05","PMC7232206","","10.3390/microorganisms8040493"
"32982910","Gut-Brain Axis: Potential Factors Involved in the Pathogenesis of Parkinson's Disease","Chao YX, Gulam MY, Chia NSJ, Feng L, Rotzschke O, Tan EK.","Front Neurol. 2020 Aug 25;11:849. doi: 10.3389/fneur.2020.00849. eCollection 2020.","Chao YX","Front Neurol","2020","2020/09/28","PMC7477379","","10.3389/fneur.2020.00849"
"32735929","The modulatory effect of plant polysaccharides on gut flora and the implication for neurodegenerative diseases from the perspective of the microbiota-gut-brain axis","Sun Q, Cheng L, Zeng X, Zhang X, Wu Z, Weng P.","Int J Biol Macromol. 2020 Dec 1;164:1484-1492. doi: 10.1016/j.ijbiomac.2020.07.208. Epub 2020 Jul 29.","Sun Q","Int J Biol Macromol","2020","2020/08/01","","","10.1016/j.ijbiomac.2020.07.208"
"32161568","Gut Microbiota Altered in Mild Cognitive Impairment Compared With Normal Cognition in Sporadic Parkinson's Disease","Ren T, Gao Y, Qiu Y, Jiang S, Zhang Q, Zhang J, Wang L, Zhang Y, Wang L, Nie K.","Front Neurol. 2020 Feb 25;11:137. doi: 10.3389/fneur.2020.00137. eCollection 2020.","Ren T","Front Neurol","2020","2020/03/13","PMC7052381","","10.3389/fneur.2020.00137"
"33262001","Molecular imaging of microbiota-gut-brain axis: searching for the right targeted probe for the right target and disease","Giron MC, Mazzi U.","Nucl Med Biol. 2021 Jan;92:72-77. doi: 10.1016/j.nucmedbio.2020.11.002. Epub 2020 Nov 19.","Giron MC","Nucl Med Biol","2021","2020/12/02","","","10.1016/j.nucmedbio.2020.11.002"
"32325848","Can Gut Microbiota Be a Good Predictor for Parkinson's Disease? A Machine Learning Approach","Pietrucci D, Teofani A, Unida V, Cerroni R, Biocca S, Stefani A, Desideri A.","Brain Sci. 2020 Apr 19;10(4):242. doi: 10.3390/brainsci10040242.","Pietrucci D","Brain Sci","2020","2020/04/25","PMC7226159","","10.3390/brainsci10040242"
"33338469","Gut-Brain axis in Parkinson's disease etiology: The role of lipopolysaccharide","Bhattacharyya D, Bhunia A.","Chem Phys Lipids. 2021 Mar;235:105029. doi: 10.1016/j.chemphyslip.2020.105029. Epub 2020 Dec 15.","Bhattacharyya D","Chem Phys Lipids","2021","2020/12/18","","","10.1016/j.chemphyslip.2020.105029"
"32035595","Polyphenols in the management of brain disorders: Modulation of the microbiota-gut-brain axis","Serra D, Almeida LM, Dinis TCP.","Adv Food Nutr Res. 2020;91:1-27. doi: 10.1016/bs.afnr.2019.08.001. Epub 2019 Aug 14.","Serra D","Adv Food Nutr Res","2020","2020/02/10","","","10.1016/bs.afnr.2019.08.001"
"32819577","Dcf1 deletion presents alterations in gut microbiota of mice similar to Parkinson's disease","Li W, Zhao Q, Wang J, Wang Y, Wen T.","Biochem Biophys Res Commun. 2020 Sep 3;529(4):1137-1144. doi: 10.1016/j.bbrc.2020.06.150. Epub 2020 Aug 3.","Li W","Biochem Biophys Res Commun","2020","2020/08/22","","","10.1016/j.bbrc.2020.06.150"
"33488420","Bibliometric and Visual Analysis of Research on the Links Between the Gut Microbiota and Depression From 1999 to 2019","Zhu X, Hu J, Deng S, Tan Y, Qiu C, Zhang M, Ni X, Lu H, Wang Z, Li L, Chen H, Huang S, Xiao T, Shang D, Wen Y.","Front Psychiatry. 2021 Jan 8;11:587670. doi: 10.3389/fpsyt.2020.587670. eCollection 2020.","Zhu X","Front Psychiatry","2021","2021/01/25","PMC7819979","","10.3389/fpsyt.2020.587670"
"32557853","Meta-Analysis of Gut Dysbiosis in Parkinson's Disease","Nishiwaki H, Ito M, Ishida T, Hamaguchi T, Maeda T, Kashihara K, Tsuboi Y, Ueyama J, Shimamura T, Mori H, Kurokawa K, Katsuno M, Hirayama M, Ohno K.","Mov Disord. 2020 Sep;35(9):1626-1635. doi: 10.1002/mds.28119. Epub 2020 Jun 18.","Nishiwaki H","Mov Disord","2020","2020/06/20","","","10.1002/mds.28119"
"31917834","Adolescence and Aging: Impact of Adolescence Inflammatory Stress and Microbiota Alterations on Brain Development, Aging, and Neurodegeneration","Yahfoufi N, Matar C, Ismail N.","J Gerontol A Biol Sci Med Sci. 2020 Jun 18;75(7):1251-1257. doi: 10.1093/gerona/glaa006.","Yahfoufi N","J Gerontol A Biol Sci Med Sci","2020","2020/01/10","PMC7302172","","10.1093/gerona/glaa006"
"31552496","Microbiota: a novel regulator of pain","Defaye M, Gervason S, Altier C, Berthon JY, Ardid D, Filaire E, Carvalho FA.","J Neural Transm (Vienna). 2020 Apr;127(4):445-465. doi: 10.1007/s00702-019-02083-z. Epub 2019 Sep 24.","Defaye M","J Neural Transm (Vienna)","2020","2019/09/26","","","10.1007/s00702-019-02083-z"
"32710966","Polymannuronic acid prevents dopaminergic neuronal loss via brain-gut-microbiota axis in Parkinson's disease model","Dong XL, Wang X, Liu F, Liu X, Du ZR, Li RW, Xue CH, Wong KH, Wong WT, Zhao Q, Tang QJ.","Int J Biol Macromol. 2020 Dec 1;164:994-1005. doi: 10.1016/j.ijbiomac.2020.07.180. Epub 2020 Jul 22.","Dong XL","Int J Biol Macromol","2020","2020/07/26","","","10.1016/j.ijbiomac.2020.07.180"
"32844199","Gut metagenomics-derived genes as potential biomarkers of Parkinson's disease","Qian Y, Yang X, Xu S, Huang P, Li B, Du J, He Y, Su B, Xu LM, Wang L, Huang R, Chen S, Xiao Q.","Brain. 2020 Aug 1;143(8):2474-2489. doi: 10.1093/brain/awaa201.","Qian Y","Brain","2020","2020/08/27","","","10.1093/brain/awaa201"
"32116985","Corrigendum: The Role of the Gut Microbiota in the Pathogenesis of Parkinson's Disease","Yang D, Zhao D, Ali Shah SZ, Wu W, Lai M, Zhang X, Li J, Guan Z, Zhao H, Li W, Gao H, Zhou X, Yang L.","Front Neurol. 2020 Feb 6;10:1412. doi: 10.3389/fneur.2019.01412. eCollection 2019.","Yang D","Front Neurol","2020","2020/03/03","PMC7017782","","10.3389/fneur.2019.01412"
"32317956","Microbial BMAA and the Pathway for Parkinson's Disease Neurodegeneration","Nunes-Costa D, Magalhães JD, G-Fernandes M, Cardoso SM, Empadinhas N.","Front Aging Neurosci. 2020 Feb 7;12:26. doi: 10.3389/fnagi.2020.00026. eCollection 2020.","Nunes-Costa D","Front Aging Neurosci","2020","2020/04/23","PMC7019015","","10.3389/fnagi.2020.00026"
"32865266","Leveraging sequence-based faecal microbial community survey data to identify alterations in gut microbiota among patients with Parkinson's disease","Ji T, Huang H, Liu J, Peng T, Zhou X, Tan Q, Yuan J, Hua H, Ding S, Liu H.","Eur J Neurosci. 2021 Jan;53(2):687-696. doi: 10.1111/ejn.14952. Epub 2020 Sep 15.","Ji T","Eur J Neurosci","2021","2020/09/01","","","10.1111/ejn.14952"
"33633723","Helicobacter and the Potential Role in Neurological Disorders: There Is More Than Helicobacter pylori","Gorlé N, Bauwens E, Haesebrouck F, Smet A, Vandenbroucke RE.","Front Immunol. 2021 Jan 28;11:584165. doi: 10.3389/fimmu.2020.584165. eCollection 2020.","Gorlé N","Front Immunol","2021","2021/02/26","PMC7901999","","10.3389/fimmu.2020.584165"
"32768944","The gut microbiota attenuate neuroinflammation in manganese exposure by inhibiting cerebral NLRP3 inflammasome","Wang H, Yang F, Xin R, Cui D, He J, Zhang S, Sun Y.","Biomed Pharmacother. 2020 Sep;129:110449. doi: 10.1016/j.biopha.2020.110449. Epub 2020 Jul 1.","Wang H","Biomed Pharmacother","2020","2020/08/10","","","10.1016/j.biopha.2020.110449"
"33293403","Short-Chain Fatty Acid-Producing Gut Microbiota Is Decreased in Parkinson's Disease but Not in Rapid-Eye-Movement Sleep Behavior Disorder","Nishiwaki H, Hamaguchi T, Ito M, Ishida T, Maeda T, Kashihara K, Tsuboi Y, Ueyama J, Shimamura T, Mori H, Kurokawa K, Katsuno M, Hirayama M, Ohno K.","mSystems. 2020 Dec 8;5(6):e00797-20. doi: 10.1128/mSystems.00797-20.","Nishiwaki H","mSystems","2020","2020/12/09","PMC7771407","","10.1128/mSystems.00797-20"
"31737957","Antibiotic exposure and risk of Parkinson's disease in Finland: A nationwide case-control study","Mertsalmi TH, Pekkonen E, Scheperjans F.","Mov Disord. 2020 Mar;35(3):431-442. doi: 10.1002/mds.27924. Epub 2019 Nov 18.","Mertsalmi TH","Mov Disord","2020","2019/11/19","","","10.1002/mds.27924"
"33106549","Increased intestinal permeability and gut dysbiosis in the R6/2 mouse model of Huntington's disease","Stan TL, Soylu-Kucharz R, Burleigh S, Prykhodko O, Cao L, Franke N, Sjögren M, Haikal C, Hållenius F, Björkqvist M.","Sci Rep. 2020 Oct 26;10(1):18270. doi: 10.1038/s41598-020-75229-9.","Stan TL","Sci Rep","2020","2020/10/27","PMC7589489","","10.1038/s41598-020-75229-9"
"32431588","Gut Microbiome-Modified Polyphenolic Compounds Inhibit α-Synuclein Seeding and Spreading in α-Synucleinopathies","Yamasaki TR, Ono K, Ho L, Pasinetti GM.","Front Neurosci. 2020 May 4;14:398. doi: 10.3389/fnins.2020.00398. eCollection 2020.","Yamasaki TR","Front Neurosci","2020","2020/05/21","PMC7212829","","10.3389/fnins.2020.00398"
"33076930","Gut bacterial deamination of residual levodopa medication for Parkinson's disease","van Kessel SP, de Jong HR, Winkel SL, van Leeuwen SS, Nelemans SA, Permentier H, Keshavarzian A, El Aidy S.","BMC Biol. 2020 Oct 20;18(1):137. doi: 10.1186/s12915-020-00876-3.","van Kessel SP","BMC Biol","2020","2020/10/20","PMC7574542","","10.1186/s12915-020-00876-3"
"31654753","Emerging concepts of mitochondrial dysfunction in Parkinson's disease progression: Pathogenic and therapeutic implications","Rani L, Mondal AC.","Mitochondrion. 2020 Jan;50:25-34. doi: 10.1016/j.mito.2019.09.010. Epub 2019 Oct 22.","Rani L","Mitochondrion","2020","2019/10/27","","","10.1016/j.mito.2019.09.010"
"32389857","Targeting the microbiota in pharmacology of psychiatric disorders","Pascale A, Marchesi N, Govoni S, Barbieri A.","Pharmacol Res. 2020 Jul;157:104856. doi: 10.1016/j.phrs.2020.104856. Epub 2020 May 8.","Pascale A","Pharmacol Res","2020","2020/05/12","","","10.1016/j.phrs.2020.104856"
"32066253","Lactobacillus probiotics improved the gut microbiota profile of a Drosophila melanogaster Alzheimer's disease model and alleviated neurodegeneration in the eye","Tan FHP, Liu G, Lau SA, Jaafar MH, Park YH, Azzam G, Li Y, Liong MT.","Benef Microbes. 2020 Feb 19;11(1):79-89. doi: 10.3920/BM2019.0086. Epub 2020 Jan 14.","Tan FHP","Benef Microbes","2020","2020/02/19","","","10.3920/BM2019.0086"
