PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34500451","Parkinson's Disease and Gut Microbiota","Hirayama M, Ohno K.","Ann Nutr Metab. 2021;77 Suppl 2:28-35. doi: 10.1159/000518147. Epub 2021 Sep 9.","Hirayama M","Ann Nutr Metab","2021","2021/09/09","","","10.1159/000518147"
"35069178","The Gut-Brain Axis and Its Relation to Parkinson's Disease: A Review","Klann EM, Dissanayake U, Gurrala A, Farrer M, Shukla AW, Ramirez-Zamora A, Mai V, Vedam-Mai V.","Front Aging Neurosci. 2022 Jan 7;13:782082. doi: 10.3389/fnagi.2021.782082. eCollection 2021.","Klann EM","Front Aging Neurosci","2022","2022/01/24","PMC8776990","","10.3389/fnagi.2021.782082"
"35572407","Interplay of gut microbiota and oxidative stress: Perspective on neurodegeneration and neuroprotection","Shandilya S, Kumar S, Kumar Jha N, Kumar Kesari K, Ruokolainen J.","J Adv Res. 2021 Sep 17;38:223-244. doi: 10.1016/j.jare.2021.09.005. eCollection 2022 May.","Shandilya S","J Adv Res","2021","2022/05/16","PMC9091761","","10.1016/j.jare.2021.09.005"
"34386321","The influence of the gut microbiota on the bioavailability of oral drugs","Zhang X, Han Y, Huang W, Jin M, Gao Z.","Acta Pharm Sin B. 2021 Jul;11(7):1789-1812. doi: 10.1016/j.apsb.2020.09.013. Epub 2020 Sep 28.","Zhang X","Acta Pharm Sin B","2021","2021/08/13","PMC8343123","","10.1016/j.apsb.2020.09.013"
"34576191","The Role of Gut Microbiota and Gut-Brain Interplay in Selected Diseases of the Central Nervous System","Doroszkiewicz J, Groblewska M, Mroczko B.","Int J Mol Sci. 2021 Sep 17;22(18):10028. doi: 10.3390/ijms221810028.","Doroszkiewicz J","Int J Mol Sci","2021","2021/09/28","PMC8471822","","10.3390/ijms221810028"
"33856024","The role of gut dysbiosis in Parkinson's disease: mechanistic insights and therapeutic options","Wang Q, Luo Y, Ray Chaudhuri K, Reynolds R, Tan EK, Pettersson S.","Brain. 2021 Oct 22;144(9):2571-2593. doi: 10.1093/brain/awab156.","Wang Q","Brain","2021","2021/04/15","","","10.1093/brain/awab156"
"33623004","Oral berberine improves brain dopa/dopamine levels to ameliorate Parkinson's disease by regulating gut microbiota","Wang Y, Tong Q, Ma SR, Zhao ZX, Pan LB, Cong L, Han P, Peng R, Yu H, Lin Y, Gao TL, Shou JW, Li XY, Zhang XF, Zhang ZW, Fu J, Wen BY, Yu JB, Cao X, Jiang JD.","Signal Transduct Target Ther. 2021 Feb 24;6(1):77. doi: 10.1038/s41392-020-00456-5.","Wang Y","Signal Transduct Target Ther","2021","2021/02/24","PMC7902645","","10.1038/s41392-020-00456-5"
"34695538","Oral, Nasal, and Gut Microbiota in Parkinson's Disease","Li Z, Lu G, Luo E, Wu B, Li Z, Guo J, Xia Z, Zheng C, Su Q, Zeng Y, Chan WY, Su X, Qiu X, Zheng X, Cai Q, Xu Y, Chen Y, Fan Y, Chen W, Yu Z, Chen X, Zheng C, Wang M, Poon WS, Luo X.","Neuroscience. 2022 Jan 1;480:65-78. doi: 10.1016/j.neuroscience.2021.10.011. Epub 2021 Oct 22.","Li Z","Neuroscience","2022","2021/10/25","","","10.1016/j.neuroscience.2021.10.011"
"34492236","Probiotics: Potential novel therapeutics for microbiota-gut-brain axis dysfunction across gender and lifespan","Snigdha S, Ha K, Tsai P, Dinan TG, Bartos JD, Shahid M.","Pharmacol Ther. 2022 Mar;231:107978. doi: 10.1016/j.pharmthera.2021.107978. Epub 2021 Sep 4.","Snigdha S","Pharmacol Ther","2022","2021/09/07","","","10.1016/j.pharmthera.2021.107978"
"33649989","The Gut-Brain Axis: Two Ways Signaling in Parkinson's Disease","Dogra N, Mani RJ, Katare DP.","Cell Mol Neurobiol. 2022 Mar;42(2):315-332. doi: 10.1007/s10571-021-01066-7. Epub 2021 Mar 2.","Dogra N","Cell Mol Neurobiol","2022","2021/03/02","","","10.1007/s10571-021-01066-7"
"33417973","Unravelling the role of gut microbiota in Parkinson's disease progression: Pathogenic and therapeutic implications","Rani L, Mondal AC.","Neurosci Res. 2021 Jul;168:100-112. doi: 10.1016/j.neures.2021.01.001. Epub 2021 Jan 5.","Rani L","Neurosci Res","2021","2021/01/08","","","10.1016/j.neures.2021.01.001"
"34530073","Alterations of gut microbiota and metabolome with Parkinson's disease","Yan Z, Yang F, Cao J, Ding W, Yan S, Shi W, Wen S, Yao L.","Microb Pathog. 2021 Nov;160:105187. doi: 10.1016/j.micpath.2021.105187. Epub 2021 Sep 13.","Yan Z","Microb Pathog","2021","2021/09/16","","","10.1016/j.micpath.2021.105187"
"33643026","The Association Between the Gut Microbiota and Parkinson's Disease, a Meta-Analysis","Shen T, Yue Y, He T, Huang C, Qu B, Lv W, Lai HY.","Front Aging Neurosci. 2021 Feb 12;13:636545. doi: 10.3389/fnagi.2021.636545. eCollection 2021.","Shen T","Front Aging Neurosci","2021","2021/03/01","PMC7907649","","10.3389/fnagi.2021.636545"
"33517890","Gut microbiota-derived propionate mediates the neuroprotective effect of osteocalcin in a mouse model of Parkinson's disease","Hou YF, Shan C, Zhuang SY, Zhuang QQ, Ghosh A, Zhu KC, Kong XK, Wang SM, Gong YL, Yang YY, Tao B, Sun LH, Zhao HY, Guo XZ, Wang WQ, Ning G, Gu YY, Li ST, Liu JM.","Microbiome. 2021 Jan 31;9(1):34. doi: 10.1186/s40168-020-00988-6.","Hou YF","Microbiome","2021","2021/02/01","PMC7849090","","10.1186/s40168-020-00988-6"
"34536490","Gut dysbiosis, defective autophagy and altered immune responses in neurodegenerative diseases: Tales of a vicious cycle","Chidambaram SB, Essa MM, Rathipriya AG, Bishir M, Ray B, Mahalakshmi AM, Tousif AH, Sakharkar MK, Kashyap RS, Friedland RP, Monaghan TM.","Pharmacol Ther. 2022 Mar;231:107988. doi: 10.1016/j.pharmthera.2021.107988. Epub 2021 Sep 16.","Chidambaram SB","Pharmacol Ther","2022","2021/09/18","","","10.1016/j.pharmthera.2021.107988"
"34112355","Zinc","Skalny AV, Aschner M, Tinkov AA.","Adv Food Nutr Res. 2021;96:251-310. doi: 10.1016/bs.afnr.2021.01.003. Epub 2021 May 24.","Skalny AV","Adv Food Nutr Res","2021","2021/06/11","PMC8208231","NIHMS1708141","10.1016/bs.afnr.2021.01.003"
"34589401","Novel compound FLZ alleviates rotenone-induced PD mouse model by suppressing TLR4/MyD88/NF-κB pathway through microbiota-gut-brain axis","Zhao Z, Li F, Ning J, Peng R, Shang J, Liu H, Shang M, Bao XQ, Zhang D.","Acta Pharm Sin B. 2021 Sep;11(9):2859-2879. doi: 10.1016/j.apsb.2021.03.020. Epub 2021 Mar 13.","Zhao Z","Acta Pharm Sin B","2021","2021/09/30","PMC8463266","","10.1016/j.apsb.2021.03.020"
"34669122","An Alternative Explanation for Alzheimer's Disease and Parkinson's Disease Initiation from Specific Antibiotics, Gut Microbiota Dysbiosis and Neurotoxins","Roe K.","Neurochem Res. 2022 Mar;47(3):517-530. doi: 10.1007/s11064-021-03467-y. Epub 2021 Oct 20.","Roe K","Neurochem Res","2022","2021/10/20","","","10.1007/s11064-021-03467-y"
"33148438","Probiotic Clostridium butyricum ameliorated motor deficits in a mouse model of Parkinson's disease via gut microbiota-GLP-1 pathway","Sun J, Li H, Jin Y, Yu J, Mao S, Su KP, Ling Z, Liu J.","Brain Behav Immun. 2021 Jan;91:703-715. doi: 10.1016/j.bbi.2020.10.014. Epub 2020 Oct 24.","Sun J","Brain Behav Immun","2021","2020/11/05","","","10.1016/j.bbi.2020.10.014"
"32504503","Dysregulation of the Gut-Brain Axis, Dysbiosis and Influence of Numerous Factors on Gut Microbiota Associated Parkinson's Disease","Kaur G, Behl T, Bungau S, Kumar A, Uddin MS, Mehta V, Zengin G, Mathew B, Shah MA, Arora S.","Curr Neuropharmacol. 2021;19(2):233-247. doi: 10.2174/1570159X18666200606233050.","Kaur G","Curr Neuropharmacol","2021","2020/06/07","PMC8033978","","10.2174/1570159X18666200606233050"
"34475403","Gut microbiota and metabolites of α-synuclein transgenic monkey models with early stage of Parkinson's disease","Yan Y, Ren S, Duan Y, Lu C, Niu Y, Wang Z, Inglis B, Ji W, Zheng Y, Si W.","NPJ Biofilms Microbiomes. 2021 Sep 2;7(1):69. doi: 10.1038/s41522-021-00242-3.","Yan Y","NPJ Biofilms Microbiomes","2021","2021/09/03","PMC8413421","","10.1038/s41522-021-00242-3"
"31684843","Effect of nutrition on neurodegenerative diseases. A systematic review","Bianchi VE, Herrera PF, Laura R.","Nutr Neurosci. 2021 Oct;24(10):810-834. doi: 10.1080/1028415X.2019.1681088. Epub 2019 Nov 4.","Bianchi VE","Nutr Neurosci","2021","2019/11/06","","","10.1080/1028415X.2019.1681088"
"33185912","Gut microbiota and metabolome distinctive features in Parkinson disease: Focus on levodopa and levodopa-carbidopa intrajejunal gel","Melis M, Vascellari S, Santoru ML, Oppo V, Fabbri M, Sarchioto M, Murgia D, Zibetti M, Lopiano L, Serra A, Palmas V, Pisanu S, Perra D, Madau V, Cusano R, Uva P, Mereu A, Contu P, Morelli M, Atzori L, Melis M, Manzin A, Cossu G.","Eur J Neurol. 2021 Apr;28(4):1198-1209. doi: 10.1111/ene.14644. Epub 2020 Dec 16.","Melis M","Eur J Neurol","2021","2020/11/13","","","10.1111/ene.14644"
"34243604","Role of microbiota-derived short-chain fatty acids in nervous system disorders","Mirzaei R, Bouzari B, Hosseini-Fard SR, Mazaheri M, Ahmadyousefi Y, Abdi M, Jalalifar S, Karimitabar Z, Teimoori A, Keyvani H, Zamani F, Yousefimashouf R, Karampoor S.","Biomed Pharmacother. 2021 Jul;139:111661. doi: 10.1016/j.biopha.2021.111661. Epub 2021 May 8.","Mirzaei R","Biomed Pharmacother","2021","2021/07/10","","","10.1016/j.biopha.2021.111661"
"34371014","The link between the gut microbiota and Parkinson's Disease: A systematic mechanism review with focus on α-synuclein transport","Nielsen SD, Pearson NM, Seidler K.","Brain Res. 2021 Oct 15;1769:147609. doi: 10.1016/j.brainres.2021.147609. Epub 2021 Aug 8.","Nielsen SD","Brain Res","2021","2021/08/09","","","10.1016/j.brainres.2021.147609"
"34948234","Human Gut Microbiota in Health and Selected Cancers","Sędzikowska A, Szablewski L.","Int J Mol Sci. 2021 Dec 14;22(24):13440. doi: 10.3390/ijms222413440.","Sędzikowska A","Int J Mol Sci","2021","2021/12/24","PMC8708499","","10.3390/ijms222413440"
"33499229","Clinical Phenotypes of Parkinson's Disease Associate with Distinct Gut Microbiota and Metabolome Enterotypes","Vascellari S, Melis M, Palmas V, Pisanu S, Serra A, Perra D, Santoru ML, Oppo V, Cusano R, Uva P, Atzori L, Morelli M, Cossu G, Manzin A.","Biomolecules. 2021 Jan 22;11(2):144. doi: 10.3390/biom11020144.","Vascellari S","Biomolecules","2021","2021/01/27","PMC7911638","","10.3390/biom11020144"
"34835406","Gut Microbiota Regulation and Their Implication in the Development of Neurodegenerative Disease","Sun P, Su L, Zhu H, Li X, Guo Y, Du X, Zhang L, Qin C.","Microorganisms. 2021 Nov 2;9(11):2281. doi: 10.3390/microorganisms9112281.","Sun P","Microorganisms","2021","2021/11/27","PMC8621510","","10.3390/microorganisms9112281"
"34954497","Altered gut microbiota in Parkinson's disease patients with motor complications","Takahashi K, Nishiwaki H, Ito M, Iwaoka K, Takahashi K, Suzuki Y, Taguchi K, Yamahara K, Tsuboi Y, Kashihara K, Hirayama M, Ohno K, Maeda T.","Parkinsonism Relat Disord. 2022 Feb;95:11-17. doi: 10.1016/j.parkreldis.2021.12.012. Epub 2021 Dec 21.","Takahashi K","Parkinsonism Relat Disord","2022","2021/12/26","","","10.1016/j.parkreldis.2021.12.012"
"35052575","Parkinson's Disease and the Metal-Microbiome-Gut-Brain Axis: A Systems Toxicology Approach","Forero-Rodríguez LJ, Josephs-Spaulding J, Flor S, Pinzón A, Kaleta C.","Antioxidants (Basel). 2021 Dec 28;11(1):71. doi: 10.3390/antiox11010071.","Forero-Rodríguez LJ","Antioxidants (Basel)","2021","2022/01/21","PMC8773335","","10.3390/antiox11010071"
"34938619","Is the Gut Microbiota a Neglected Aspect of Gut and Brain Disorders?","Balan Y, Gaur A, Sakthivadivel V, Kamble B, Sundaramurthy R.","Cureus. 2021 Nov 19;13(11):e19740. doi: 10.7759/cureus.19740. eCollection 2021 Nov.","Balan Y","Cureus","2021","2021/12/23","PMC8684598","","10.7759/cureus.19740"
"33352217","Human gut microbiota and its association with pathogenesis and treatments of neurodegenerative diseases","Chen Z, Maqbool J, Sajid F, Hussain G, Sun T.","Microb Pathog. 2021 Jan;150:104675. doi: 10.1016/j.micpath.2020.104675. Epub 2020 Dec 24.","Chen Z","Microb Pathog","2021","2020/12/22","","","10.1016/j.micpath.2020.104675"
"33860738","The gut-brain axis and Parkinson disease: clinical and pathogenetic relevance","Menozzi E, Macnaughtan J, Schapira AHV.","Ann Med. 2021 Dec;53(1):611-625. doi: 10.1080/07853890.2021.1890330.","Menozzi E","Ann Med","2021","2021/04/16","PMC8078923","","10.1080/07853890.2021.1890330"
"33459114","Role of gut microbiota in regulating gastrointestinal dysfunction and motor symptoms in a mouse model of Parkinson's disease","Bhattarai Y, Si J, Pu M, Ross OA, McLean PJ, Till L, Moor W, Grover M, Kandimalla KK, Margolis KG, Farrugia G, Kashyap PC.","Gut Microbes. 2021 Jan 1;13(1):1866974. doi: 10.1080/19490976.2020.1866974.","Bhattarai Y","Gut Microbes","2021","2021/01/18","PMC7833732","","10.1080/19490976.2020.1866974"
"35779869","Role of the gut microbiota in the development of various neurological diseases","Castillo-Álvarez F, Marzo-Sola ME.","Neurologia (Engl Ed). 2022 Jul-Aug;37(6):492-498. doi: 10.1016/j.nrleng.2019.03.026. Epub 2021 May 25.","Castillo-Álvarez F","Neurologia (Engl Ed)","2022","2022/07/02","","","10.1016/j.nrleng.2019.03.026"
"34274348","Interactions between the microbiota and enteric nervous system during gut-brain disorders","Fried S, Wemelle E, Cani PD, Knauf C.","Neuropharmacology. 2021 Oct 1;197:108721. doi: 10.1016/j.neuropharm.2021.108721. Epub 2021 Jul 15.","Fried S","Neuropharmacology","2021","2021/07/18","","","10.1016/j.neuropharm.2021.108721"
"33279302","Metabolomics analysis of microbiota-gut-brain axis in neurodegenerative and psychiatric diseases","Konjevod M, Nikolac Perkovic M, Sáiz J, Svob Strac D, Barbas C, Rojo D.","J Pharm Biomed Anal. 2021 Feb 5;194:113681. doi: 10.1016/j.jpba.2020.113681. Epub 2020 Nov 21.","Konjevod M","J Pharm Biomed Anal","2021","2020/12/06","","","10.1016/j.jpba.2020.113681"
"33573273","Bile Acids and Microbiota: Multifaceted and Versatile Regulators of the Liver-Gut Axis","Grüner N, Mattner J.","Int J Mol Sci. 2021 Jan 30;22(3):1397. doi: 10.3390/ijms22031397.","Grüner N","Int J Mol Sci","2021","2021/02/12","PMC7866539","","10.3390/ijms22031397"
"34571840","Helicobacter pylori Infection and Extragastric Diseases-A Focus on the Central Nervous System","Baj J, Forma A, Flieger W, Morawska I, Michalski A, Buszewicz G, Sitarz E, Portincasa P, Garruti G, Flieger M, Teresiński G.","Cells. 2021 Aug 25;10(9):2191. doi: 10.3390/cells10092191.","Baj J","Cells","2021","2021/09/28","PMC8469861","","10.3390/cells10092191"
"34370175","Gut brain axis: an insight into microbiota role in Parkinson's disease","Moustafa SA, Mohamed S, Dawood A, Azar J, Elmorsy E, Rizk NAM, Salama M.","Metab Brain Dis. 2021 Oct;36(7):1545-1557. doi: 10.1007/s11011-021-00808-2. Epub 2021 Aug 9.","Moustafa SA","Metab Brain Dis","2021","2021/08/09","","","10.1007/s11011-021-00808-2"
"34884399","Differences in the Composition of Gut Microbiota between Patients with Parkinson's Disease and Healthy Controls: A Cohort Study","Zapała B, Stefura T, Wójcik-Pędziwiatr M, Kabut R, Bałajewicz-Nowak M, Milewicz T, Dudek A, Stój A, Rudzińska-Bar M.","J Clin Med. 2021 Dec 3;10(23):5698. doi: 10.3390/jcm10235698.","Zapała B","J Clin Med","2021","2021/12/10","PMC8658639","","10.3390/jcm10235698"
"34829694","Probiotic Enhancement of Antioxidant Capacity and Alterations of Gut Microbiota Composition in 6-Hydroxydopamin-Induced Parkinson's Disease Rats","Tsao SP, Nurrahma BA, Kumar R, Wu CH, Yeh TH, Chiu CC, Lee YP, Liao YC, Huang CH, Yeh YT, Huang HY.","Antioxidants (Basel). 2021 Nov 17;10(11):1823. doi: 10.3390/antiox10111823.","Tsao SP","Antioxidants (Basel)","2021","2021/11/27","PMC8615185","","10.3390/antiox10111823"
"34839011","Effects of Resistant Starch on Symptoms, Fecal Markers, and Gut Microbiota in Parkinson's Disease - The RESISTA-PD Trial","Becker A, Schmartz GP, Gröger L, Grammes N, Galata V, Philippeit H, Weiland J, Ludwig N, Meese E, Tierling S, Walter J, Schwiertz A, Spiegel J, Wagenpfeil G, Faßbender K, Keller A, Unger MM.","Genomics Proteomics Bioinformatics. 2022 Apr;20(2):274-287. doi: 10.1016/j.gpb.2021.08.009. Epub 2021 Nov 25.","Becker A","Genomics Proteomics Bioinformatics","2022","2021/11/28","PMC9684155","","10.1016/j.gpb.2021.08.009"
"34358037","Modulation of Neuroinflammation by the Gut Microbiota in Prion and Prion-Like Diseases","Trichka J, Zou WQ.","Pathogens. 2021 Jul 13;10(7):887. doi: 10.3390/pathogens10070887.","Trichka J","Pathogens","2021","2021/08/06","PMC8308761","","10.3390/pathogens10070887"
"34216356","The Relationship Between the Gut Microbiome and Neurodegenerative Diseases","Zhu X, Li B, Lou P, Dai T, Chen Y, Zhuge A, Yuan Y, Li L.","Neurosci Bull. 2021 Oct;37(10):1510-1522. doi: 10.1007/s12264-021-00730-8. Epub 2021 Jul 3.","Zhu X","Neurosci Bull","2021","2021/07/03","PMC8490573","","10.1007/s12264-021-00730-8"
"33428888","Gut microbiota-derived vitamins - underrated powers of a multipotent ally in psychiatric health and disease","Rudzki L, Stone TW, Maes M, Misiak B, Samochowiec J, Szulc A.","Prog Neuropsychopharmacol Biol Psychiatry. 2021 Apr 20;107:110240. doi: 10.1016/j.pnpbp.2020.110240. Epub 2021 Jan 9.","Rudzki L","Prog Neuropsychopharmacol Biol Psychiatry","2021","2021/01/11","","","10.1016/j.pnpbp.2020.110240"
"33825149","Gut Microbial Metabolites in Parkinson's Disease: Implications of Mitochondrial Dysfunction in the Pathogenesis and Treatment","Liang Y, Cui L, Gao J, Zhu M, Zhang Y, Zhang HL.","Mol Neurobiol. 2021 Aug;58(8):3745-3758. doi: 10.1007/s12035-021-02375-0. Epub 2021 Apr 6.","Liang Y","Mol Neurobiol","2021","2021/04/07","PMC8280023","","10.1007/s12035-021-02375-0"
"34682763","The Microbiota-Gut-Brain Axis as a Key to Neuropsychiatric Disorders: A Mini Review","Stopińska K, Radziwoń-Zaleska M, Domitrz I.","J Clin Med. 2021 Oct 10;10(20):4640. doi: 10.3390/jcm10204640.","Stopińska K","J Clin Med","2021","2021/10/23","PMC8539144","","10.3390/jcm10204640"
"34440599","The Role of Gut Microbiota in Aging and Aging Related Neurodegenerative Disorders: Insights from Drosophila Model","Kong Y, Wang L, Jiang B.","Life (Basel). 2021 Aug 20;11(8):855. doi: 10.3390/life11080855.","Kong Y","Life (Basel)","2021","2021/08/27","PMC8399269","","10.3390/life11080855"
"33406628","Gut Microbiota Dysbiosis Is Associated with Elevated Bile Acids in Parkinson's Disease","Li P, Killinger BA, Ensink E, Beddows I, Yilmaz A, Lubben N, Lamp J, Schilthuis M, Vega IE, Woltjer R, Pospisilik JA, Brundin P, Brundin L, Graham SF, Labrie V.","Metabolites. 2021 Jan 4;11(1):29. doi: 10.3390/metabo11010029.","Li P","Metabolites","2021","2021/01/07","PMC7823437","","10.3390/metabo11010029"
"34737076","Environmental neurotoxicants and inflammasome activation in Parkinson's disease - A focus on the gut-brain axis","Johnson AM, Ou ZA, Gordon R, Saminathan H.","Int J Biochem Cell Biol. 2022 Jan;142:106113. doi: 10.1016/j.biocel.2021.106113. Epub 2021 Nov 2.","Johnson AM","Int J Biochem Cell Biol","2022","2021/11/05","","","10.1016/j.biocel.2021.106113"
"34512244","What Is Our Understanding of the Influence of Gut Microbiota on the Pathophysiology of Parkinson's Disease?","Hill AE, Wade-Martins R, Burnet PWJ.","Front Neurosci. 2021 Aug 26;15:708587. doi: 10.3389/fnins.2021.708587. eCollection 2021.","Hill AE","Front Neurosci","2021","2021/09/13","PMC8432298","","10.3389/fnins.2021.708587"
"34094829","Gut microbiota mediates the absorption of FLZ, a new drug for Parkinson's disease treatment","Shang J, Ma S, Zang C, Bao X, Wang Y, Zhang D.","Acta Pharm Sin B. 2021 May;11(5):1213-1226. doi: 10.1016/j.apsb.2021.01.009. Epub 2021 Jan 26.","Shang J","Acta Pharm Sin B","2021","2021/06/07","PMC8148066","","10.1016/j.apsb.2021.01.009"
"34977556","Influence of probiotic bacteria on gut microbiota composition and gut wall function in an in-vitro model in patients with Parkinson's disease","Ghyselinck J, Verstrepen L, Moens F, Van Den Abbeele P, Bruggeman A, Said J, Smith B, Barker LA, Jordan C, Leta V, Chaudhuri KR, Basit AW, Gaisford S.","Int J Pharm X. 2021 Jul 2;3:100087. doi: 10.1016/j.ijpx.2021.100087. eCollection 2021 Dec.","Ghyselinck J","Int J Pharm X","2021","2022/01/03","PMC8683682","","10.1016/j.ijpx.2021.100087"
"35111696","Gut Microbiota: A Key Regulator in the Effects of Environmental Hazards on Modulates Insulin Resistance","Huang R.","Front Cell Infect Microbiol. 2022 Jan 17;11:800432. doi: 10.3389/fcimb.2021.800432. eCollection 2021.","Huang R","Front Cell Infect Microbiol","2022","2022/02/03","PMC8801599","","10.3389/fcimb.2021.800432"
"33804226","New Avenues for Parkinson's Disease Therapeutics: Disease-Modifying Strategies Based on the Gut Microbiota","Lorente-Picón M, Laguna A.","Biomolecules. 2021 Mar 15;11(3):433. doi: 10.3390/biom11030433.","Lorente-Picón M","Biomolecules","2021","2021/04/03","PMC7998286","","10.3390/biom11030433"
"33857347","Bacterial Extracellular Vesicles and the Gut-Microbiota Brain Axis: Emerging Roles in Communication and Potential as Therapeutics","Pirolli NH, Bentley WE, Jay SM.","Adv Biol (Weinh). 2021 Jul;5(7):e2000540. doi: 10.1002/adbi.202000540. Epub 2021 Apr 15.","Pirolli NH","Adv Biol (Weinh)","2021","2021/04/15","","","10.1002/adbi.202000540"
"33746867","Effect of Levodopa Initiation on the Gut Microbiota in Parkinson's Disease","Palacios N, Hannoun A, Flahive J, Ward D, Goostrey K, Deb A, Smith KM.","Front Neurol. 2021 Mar 4;12:574529. doi: 10.3389/fneur.2021.574529. eCollection 2021.","Palacios N","Front Neurol","2021","2021/03/22","PMC7970035","","10.3389/fneur.2021.574529"
"34934429","Gut microbiota relieves inflammation in the substantia nigra of chronic Parkinson's disease by protecting the function of dopamine neurons","Zhang T, Wang T, Chen X, Zhao Z, Chen Z.","Exp Ther Med. 2022 Jan;23(1):52. doi: 10.3892/etm.2021.10974. Epub 2021 Nov 16.","Zhang T","Exp Ther Med","2022","2021/12/22","PMC8652398","","10.3892/etm.2021.10974"
"33763767","Unravelling the potential of gut microbiota in sustaining brain health and their current prospective towards development of neurotherapeutics","Banerjee A, Pradhan LK, Sahoo PK, Jena KK, Chauhan NR, Chauhan S, Das SK.","Arch Microbiol. 2021 Aug;203(6):2895-2910. doi: 10.1007/s00203-021-02276-9. Epub 2021 Mar 24.","Banerjee A","Arch Microbiol","2021","2021/03/25","","","10.1007/s00203-021-02276-9"
